Stage Basic,Value,,Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Width,27,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,,,,,,,,,,,,,,
Height,12,,1,W,N,N,N,N,N,W,W,W,CBW,CBW,CBW,CBW,CBW,CBW,CBW,CBW,CBW,CBW,CBW,CBW,CBW,CBW,CBW,CBW,CBW,CBW,,,,,,,,,,,,,,
,,,2,N,N,B,N,N,N,N,N,N,N,N,N,B,N,N,N,N,CBW,N,N,N,N,N,N,N,N,W,,,,,,,,,,,,,,
Object Type,Code,,3,N,N,N,W,W,W,W,W,W,W,N,N,N,N,N,N,N,CBW,N,W,B,N,N,N,N,N,W,,,,,,,,,,,,,,
Normal block,N,,4,W,W,N,N,N,N,N,N,N,N,N,N,N,W,N,N,N,CBW,N,N,N,W,N,N,N,N,W,,,,,,,,,,,,,,
Boom block,B,,5,W,W,N,WB,CBW,CBW,CBW,CBW,CBW,CBW,CBW,CBW,CBW,CBW,CBW,N,N,CBW,N,N,N,W,N,B,N,N,W,,,,,,,,,,,,,,
Wall block,W,,6,W,W,N,N,N,B,N,N,N,N,N,N,N,N,N,N,N,WB,N,N,N,W,N,N,N,N,W,,,,,,,,,,,,,,
Wall Boom block,WB,,7,W,W,N,N,N,N,CBW,CBW,N,N,N,N,N,CBW,N,N,N,N,N,N,N,W,N,N,N,N,W,,,,,,,,,,,,,,
Can Break Wall block,CBW,,8,W,W,N,N,N,N,N,CBW,CBW,CBW,CBW,N,N,CBW,B,N,N,N,N,N,N,N,N,N,N,N,W,,,,,,,,,,,,,,
,,,9,W,W,N,N,N,N,N,N,CBW,N,N,N,N,CBW,CBW,CBW,CBW,CBW,CBW,WB,N,N,N,N,N,N,W,,,,,,,,,,,,,,
,,,10,N,N,N,N,N,N,N,B,CBW,N,N,N,N,N,N,N,N,N,N,N,N,W,W,N,N,N,N,,,,,,,,,,,,,,
,,,11,N,N,N,N,N,N,N,N,CBW,CBW,CBW,CBW,CBW,CBW,CBW,CBW,CBW,CBW,WB,CBW,CBW,CBW,CBW,CBW,CBW,CBW,CBW,,,,,,,,,,,,,,
,,,12,W,N,N,,,,,N,N,N,N,,,,,,N,,N,N,,,,N,N,N,N,,,,,,,,,,,,,,
,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
