Stage Basic,Value,,Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
盤面,,,盤面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
広さ,22,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,,,,,,,,,,,,,,,,,,,
高さ,10,,1,W,N,N,N,CBW,N,N,N,W,W,W,N,N,N,N,N,N,N,N,W,W,W,,,,,,,,,,,,,,,,,,,
,,,2,N,N,N,N,CBW,N,N,N,N,N,N,N,N,N,N,B,N,N,N,N,N,W,,,,,,,,,,,,,,,,,,,
オブジェクト,Code,,3,N,N,N,B,CBW,N,N,N,N,CBW,CBW,CBW,CBW,CBW,CBW,CBW,N,N,N,N,N,N,,,,,,,,,,,,,,,,,,,
普通のブロック,N,,4,N,N,N,N,CBW,N,N,N,CBW,CBW,N,N,B,N,N,CBW,CBW,N,W,N,N,B,,,,,,,,,,,,,,,,,,,
ボム,B,,5,N,N,N,N,CBW,N,N,W,W,W,N,N,N,N,N,N,CBW,CBW,W,N,N,N,,,,,,,,,,,,,,,,,,,
壁,W,,6,N,N,N,N,CBW,N,CBW,CBW,N,N,N,N,N,,N,N,N,CBW,N,N,N,N,,,,,,,,,,,,,,,,,,,
壁ボム,WB,,7,CBW,CBW,CBW,CBW,CBW,CBW,WB,N,N,N,N,N,,,N,N,N,CBW,WB,CBW,CBW,CBW,,,,,,,,,,,,,,,,,,,
壁ボム-壁,CBW,,8,N,N,N,N,N,N,N,N,,,,,,,,,N,N,N,N,N,N,,,,,,,,,,,,,,,,,,,
,,,9,W,N,N,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,
BPM,135,,10,W,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
音の名前,stage1_bgm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
弾のCD（秒）,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
弾の数,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
爆風の爆発と壁ボム爆発の速度,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
（＝（60/BPM）*　1/Ｎ）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
